Term [T: 32]             T in Docs  IDF
podrían                  31         0.030771658666753687
bueno                    31         0.030771658666753687
mal                      31         0.030771658666753687
estaría                  31         0.030771658666753687
raro                     31         0.030771658666753687
suficiente               31         0.030771658666753687
malo                     31         0.030771658666753687
mi                       31         0.030771658666753687
fácil                    31         0.030771658666753687
cómo                     31         0.030771658666753687
simple                   31         0.030771658666753687
peso                     31         0.030771658666753687
días                     31         0.030771658666753687
vi                       31         0.030771658666753687
especie                  31         0.030771658666753687
ocurrió                  31         0.030771658666753687
descubrir                31         0.030771658666753687
llamó                    31         0.030771658666753687
tanta                    31         0.030771658666753687
dicho                    31         0.030771658666753687
niño                     31         0.030771658666753687
hablado                  31         0.030771658666753687
desaparecido             31         0.030771658666753687
manos                    31         0.030771658666753687
espero                   31         0.030771658666753687
tenían                   31         0.030771658666753687
brazo                    31         0.030771658666753687
tendría                  31         0.030771658666753687
demasiado                31         0.030771658666753687
ruido                    31         0.030771658666753687
decía                    31         0.030771658666753687
llegó                    31         0.030771658666753687
salió                    31         0.030771658666753687
derecho                  31         0.030771658666753687
siento                   31         0.030771658666753687
sino                     31         0.030771658666753687
final                    31         0.030771658666753687
pesar                    31         0.030771658666753687
cuerpo                   31         0.030771658666753687
dedos                    31         0.030771658666753687
sol                      31         0.030771658666753687
sola                     31         0.030771658666753687
padre                    31         0.030771658666753687
capaz                    31         0.030771658666753687
significa                31         0.030771658666753687
necesario                31         0.030771658666753687
grandes                  31         0.030771658666753687
todavía                  31         0.030771658666753687
mundo                    31         0.030771658666753687
allá                     31         0.030771658666753687
instante                 31         0.030771658666753687
pensé                    31         0.030771658666753687
siendo                   31         0.030771658666753687
nuevas                   31         0.030771658666753687
prisa                    31         0.030771658666753687
muchas                   31         0.030771658666753687
hora                     31         0.030771658666753687
alta                     31         0.030771658666753687
baja                     31         0.030771658666753687
hacía                    31         0.030771658666753687
dormido                  31         0.030771658666753687
hacían                   31         0.030771658666753687
llevó                    31         0.030771658666753687
últimos                  31         0.030771658666753687
boca                     31         0.030771658666753687
campo                    31         0.030771658666753687
nueva                    31         0.030771658666753687
principio                31         0.030771658666753687
adelante                 31         0.030771658666753687
tomó                     31         0.030771658666753687
agua                     31         0.030771658666753687
imposible                31         0.030771658666753687
nuestros                 31         0.030771658666753687
mirar                    31         0.030771658666753687
avanzar                  31         0.030771658666753687
siete                    31         0.030771658666753687
va                       31         0.030771658666753687
tener                    31         0.030771658666753687
puedo                    31         0.030771658666753687
pueda                    31         0.030771658666753687
rostro                   31         0.030771658666753687
alguno                   31         0.030771658666753687
única                    31         0.030771658666753687
pequeño                  31         0.030771658666753687
paso                     31         0.030771658666753687
seguir                   31         0.030771658666753687
pequeñas                 31         0.030771658666753687
animal                   31         0.030771658666753687
sentido                  31         0.030771658666753687
varios                   31         0.030771658666753687
trabajo                  31         0.030771658666753687
trataba                  31         0.030771658666753687
encontrado               31         0.030771658666753687
parecían                 31         0.030771658666753687
blanco                   31         0.030771658666753687
momentos                 31         0.030771658666753687
podían                   31         0.030771658666753687
señaló                   31         0.030771658666753687
digo                     31         0.030771658666753687
debajo                   31         0.030771658666753687
posibilidad              31         0.030771658666753687
mis                      31         0.030771658666753687
mirando                  31         0.030771658666753687
falta                    31         0.030771658666753687
tenemos                  31         0.030771658666753687
sensación                31         0.030771658666753687
varias                   31         0.030771658666753687
ti                       31         0.030771658666753687
tienen                   31         0.030771658666753687
realidad                 31         0.030771658666753687
dado                     31         0.030771658666753687
grande                   31         0.030771658666753687
esperar                  31         0.030771658666753687
debe                     31         0.030771658666753687
darle                    31         0.030771658666753687
cabeza                   31         0.030771658666753687
pudo                     31         0.030771658666753687
clase                    31         0.030771658666753687
mí                       31         0.030771658666753687
propia                   31         0.030771658666753687
propio                   31         0.030771658666753687
comprender               31         0.030771658666753687
estuviera                31         0.030771658666753687
oportunidad              31         0.030771658666753687
haría                    31         0.030771658666753687
entre                    31         0.030771658666753687
tendrá                   31         0.030771658666753687
cerca                    31         0.030771658666753687
ningún                   31         0.030771658666753687
par                      31         0.030771658666753687
abrió                    31         0.030771658666753687
través                   31         0.030771658666753687
nos                      31         0.030771658666753687
fondo                    31         0.030771658666753687
porque                   31         0.030771658666753687
rápido                   31         0.030771658666753687
quedó                    31         0.030771658666753687
expresión                31         0.030771658666753687
probablemente            31         0.030771658666753687
estoy                    31         0.030771658666753687
anterior                 31         0.030771658666753687
correr                   31         0.030771658666753687
pensando                 31         0.030771658666753687
tengo                    31         0.030771658666753687
centro                   31         0.030771658666753687
buenas                   31         0.030771658666753687
miedo                    31         0.030771658666753687
importante               31         0.030771658666753687
ambos                    31         0.030771658666753687
pie                      31         0.030771658666753687
estuvo                   31         0.030771658666753687
tras                     31         0.030771658666753687
lejos                    31         0.030771658666753687
ocurrido                 31         0.030771658666753687
libre                    31         0.030771658666753687
gente                    31         0.030771658666753687
menor                    31         0.030771658666753687
resto                    31         0.030771658666753687
completamente            31         0.030771658666753687
cualquiera               31         0.030771658666753687
dejar                    31         0.030771658666753687
tuvo                     31         0.030771658666753687
corriente                31         0.030771658666753687
hará                     31         0.030771658666753687
pequeña                  31         0.030771658666753687
saberlo                  31         0.030771658666753687
silencio                 31         0.030771658666753687
opinión                  31         0.030771658666753687
pasos                    31         0.030771658666753687
sólo                     31         0.030771658666753687
profundo                 31         0.030771658666753687
probable                 31         0.030771658666753687
libro                    31         0.030771658666753687
acerca                   31         0.030771658666753687
hubo                     31         0.030771658666753687
tuviera                  31         0.030771658666753687
contrario                31         0.030771658666753687
nuestro                  31         0.030771658666753687
quería                   31         0.030771658666753687
acuerdo                  31         0.030771658666753687
dando                    31         0.030771658666753687
mía                      31         0.030771658666753687
fuerte                   31         0.030771658666753687
completo                 31         0.030771658666753687
soy                      31         0.030771658666753687
esperanza                31         0.030771658666753687
importa                  31         0.030771658666753687
nariz                    31         0.030771658666753687
somos                    31         0.030771658666753687
lado                     31         0.030771658666753687
extremo                  31         0.030771658666753687
pasa                     31         0.030771658666753687
sonrisa                  31         0.030771658666753687
debemos                  31         0.030771658666753687
han                      31         0.030771658666753687
fácilmente               31         0.030771658666753687
alrededor                31         0.030771658666753687
arriba                   31         0.030771658666753687
embargo                  31         0.030771658666753687
interior                 31         0.030771658666753687
podríamos                31         0.030771658666753687
color                    31         0.030771658666753687
atrás                    31         0.030771658666753687
hablando                 31         0.030771658666753687
hombres                  31         0.030771658666753687
sé                       31         0.030771658666753687
cuenta                   31         0.030771658666753687
perder                   31         0.030771658666753687
bastante                 31         0.030771658666753687
siquiera                 31         0.030771658666753687
pareció                  31         0.030771658666753687
vivo                     31         0.030771658666753687
supuesto                 31         0.030771658666753687
puso                     31         0.030771658666753687
larga                    31         0.030771658666753687
corazón                  31         0.030771658666753687
señor                    31         0.030771658666753687
venir                    31         0.030771658666753687
ahí                      31         0.030771658666753687
peligro                  31         0.030771658666753687
algún                    31         0.030771658666753687
espera                   31         0.030771658666753687
caer                     31         0.030771658666753687
segunda                  31         0.030771658666753687
sabemos                  31         0.030771658666753687
queda                    31         0.030771658666753687
ninguna                  31         0.030771658666753687
ve                       31         0.030771658666753687
abajo                    31         0.030771658666753687
aquellos                 31         0.030771658666753687
frío                     31         0.030771658666753687
justo                    31         0.030771658666753687
forma                    31         0.030771658666753687
vivir                    31         0.030771658666753687
oído                     31         0.030771658666753687
supongo                  31         0.030771658666753687
tierra                   31         0.030771658666753687
orden                    31         0.030771658666753687
cambio                   30         0.06252035698133393
partes                   30         0.06252035698133393
peligroso                30         0.06252035698133393
reír                     30         0.06252035698133393
beber                    30         0.06252035698133393
morir                    30         0.06252035698133393
velocidad                30         0.06252035698133393
cayó                     30         0.06252035698133393
fuertes                  30         0.06252035698133393
hombros                  30         0.06252035698133393
pasó                     30         0.06252035698133393
guerra                   30         0.06252035698133393
lleno                    30         0.06252035698133393
profundamente            30         0.06252035698133393
dejó                     30         0.06252035698133393
traído                   30         0.06252035698133393
inteligente              30         0.06252035698133393
podamos                  30         0.06252035698133393
serio                    30         0.06252035698133393
hablaba                  30         0.06252035698133393
debería                  30         0.06252035698133393
esfuerzo                 30         0.06252035698133393
plan                     30         0.06252035698133393
sentir                   30         0.06252035698133393
gritó                    30         0.06252035698133393
izquierda                30         0.06252035698133393
ninguno                  30         0.06252035698133393
terreno                  30         0.06252035698133393
veinte                   30         0.06252035698133393
iba                      30         0.06252035698133393
salido                   30         0.06252035698133393
suya                     30         0.06252035698133393
escuchar                 30         0.06252035698133393
mucha                    30         0.06252035698133393
permanecer               30         0.06252035698133393
levantó                  30         0.06252035698133393
dientes                  30         0.06252035698133393
detrás                   30         0.06252035698133393
sabía                    30         0.06252035698133393
da                       30         0.06252035698133393
sangre                   30         0.06252035698133393
apareció                 30         0.06252035698133393
tranquilo                30         0.06252035698133393
mismos                   30         0.06252035698133393
rapidez                  30         0.06252035698133393
busca                    30         0.06252035698133393
querido                  30         0.06252035698133393
movimiento               30         0.06252035698133393
hice                     30         0.06252035698133393
llevar                   30         0.06252035698133393
miraba                   30         0.06252035698133393
ven                      30         0.06252035698133393
cuantos                  30         0.06252035698133393
habrá                    30         0.06252035698133393
aquellas                 30         0.06252035698133393
haciendo                 30         0.06252035698133393
conocía                  30         0.06252035698133393
escapar                  30         0.06252035698133393
labios                   30         0.06252035698133393
quedado                  30         0.06252035698133393
ayuda                    30         0.06252035698133393
esperaba                 30         0.06252035698133393
posición                 30         0.06252035698133393
techo                    30         0.06252035698133393
gris                     30         0.06252035698133393
verdadera                30         0.06252035698133393
lanzó                    30         0.06252035698133393
daba                     30         0.06252035698133393
calma                    30         0.06252035698133393
cabezas                  30         0.06252035698133393
duro                     30         0.06252035698133393
cuánto                   30         0.06252035698133393
marcha                   30         0.06252035698133393
abierto                  30         0.06252035698133393
seres                    30         0.06252035698133393
empezó                   30         0.06252035698133393
jamás                    30         0.06252035698133393
volvió                   30         0.06252035698133393
seguía                   30         0.06252035698133393
gustaría                 30         0.06252035698133393
ataque                   30         0.06252035698133393
suelo                    30         0.06252035698133393
deja                     30         0.06252035698133393
haga                     30         0.06252035698133393
hombro                   30         0.06252035698133393
pensamientos             30         0.06252035698133393
tuve                     30         0.06252035698133393
cuarto                   30         0.06252035698133393
amigos                   30         0.06252035698133393
dirección                30         0.06252035698133393
bajó                     30         0.06252035698133393
detuvo                   30         0.06252035698133393
ido                      30         0.06252035698133393
andar                    30         0.06252035698133393
vaya                     30         0.06252035698133393
verde                    30         0.06252035698133393
encuentro                30         0.06252035698133393
lleva                    30         0.06252035698133393
te                       30         0.06252035698133393
pensado                  30         0.06252035698133393
casa                     30         0.06252035698133393
inmediato                30         0.06252035698133393
nuestras                 30         0.06252035698133393
tú                       30         0.06252035698133393
preguntó                 30         0.06252035698133393
paz                      30         0.06252035698133393
humano                   30         0.06252035698133393
largos                   30         0.06252035698133393
madre                    30         0.06252035698133393
pudieran                 30         0.06252035698133393
vino                     30         0.06252035698133393
carne                    30         0.06252035698133393
volver                   30         0.06252035698133393
miró                     30         0.06252035698133393
ocasión                  30         0.06252035698133393
sacar                    30         0.06252035698133393
habrían                  30         0.06252035698133393
encontraba               30         0.06252035698133393
acto                     30         0.06252035698133393
rápidamente              30         0.06252035698133393
tu                       30         0.06252035698133393
seis                     30         0.06252035698133393
pausa                    30         0.06252035698133393
venido                   30         0.06252035698133393
vio                      30         0.06252035698133393
terrible                 30         0.06252035698133393
murmuró                  30         0.06252035698133393
sentado                  30         0.06252035698133393
figura                   30         0.06252035698133393
montón                   30         0.06252035698133393
serán                    30         0.06252035698133393
tenga                    30         0.06252035698133393
conocido                 30         0.06252035698133393
oscuro                   30         0.06252035698133393
mente                    30         0.06252035698133393
sombra                   30         0.06252035698133393
explicó                  30         0.06252035698133393
rato                     30         0.06252035698133393
esos                     30         0.06252035698133393
trata                    30         0.06252035698133393
voy                      30         0.06252035698133393
acercó                   30         0.06252035698133393
respecto                 30         0.06252035698133393
esté                     30         0.06252035698133393
recuerdo                 30         0.06252035698133393
pueden                   30         0.06252035698133393
inclinó                  30         0.06252035698133393
pequeños                 30         0.06252035698133393
problemas                30         0.06252035698133393
comida                   30         0.06252035698133393
exactamente              30         0.06252035698133393
segundos                 30         0.06252035698133393
asintió                  30         0.06252035698133393
pensaba                  30         0.06252035698133393
diciendo                 30         0.06252035698133393
llevado                  30         0.06252035698133393
horas                    30         0.06252035698133393
delante                  30         0.06252035698133393
simplemente              30         0.06252035698133393
alcance                  30         0.06252035698133393
oh                       30         0.06252035698133393
pregunta                 30         0.06252035698133393
tono                     30         0.06252035698133393
hiciera                  30         0.06252035698133393
golpe                    30         0.06252035698133393
sueño                    30         0.06252035698133393
lengua                   30         0.06252035698133393
minutos                  30         0.06252035698133393
finalmente               30         0.06252035698133393
favor                    30         0.06252035698133393
olvidado                 30         0.06252035698133393
prueba                   30         0.06252035698133393
fui                      30         0.06252035698133393
derecha                  30         0.06252035698133393
medida                   30         0.06252035698133393
pecho                    30         0.06252035698133393
absoluto                 30         0.06252035698133393
van                      30         0.06252035698133393
quedar                   30         0.06252035698133393
llevaba                  30         0.06252035698133393
pensamiento              30         0.06252035698133393
problema                 30         0.06252035698133393
fuego                    30         0.06252035698133393
mil                      30         0.06252035698133393
oscura                   30         0.06252035698133393
animales                 30         0.06252035698133393
entrada                  30         0.06252035698133393
vuelta                   30         0.06252035698133393
tantas                   30         0.06252035698133393
fuerzas                  30         0.06252035698133393
realmente                30         0.06252035698133393
mujer                    30         0.06252035698133393
esperando                30         0.06252035698133393
oscuridad                30         0.06252035698133393
formas                   30         0.06252035698133393
cambiar                  30         0.06252035698133393
llamar                   30         0.06252035698133393
habló                    30         0.06252035698133393
cama                     30         0.06252035698133393
hicieron                 30         0.06252035698133393
sentía                   30         0.06252035698133393
grito                    30         0.06252035698133393
juntos                   30         0.06252035698133393
sabían                   29         0.09531017980432493
secreto                  29         0.09531017980432493
diferente                29         0.09531017980432493
quisiera                 29         0.09531017980432493
matado                   29         0.09531017980432493
minuto                   29         0.09531017980432493
niños                    29         0.09531017980432493
cubierto                 29         0.09531017980432493
aparte                   29         0.09531017980432493
cuidado                  29         0.09531017980432493
rojo                     29         0.09531017980432493
tendremos                29         0.09531017980432493
puedes                   29         0.09531017980432493
estás                    29         0.09531017980432493
pasaba                   29         0.09531017980432493
pensó                    29         0.09531017980432493
totalmente               29         0.09531017980432493
sean                     29         0.09531017980432493
respondió                29         0.09531017980432493
quieres                  29         0.09531017980432493
terror                   29         0.09531017980432493
iban                     29         0.09531017980432493
extraña                  29         0.09531017980432493
haremos                  29         0.09531017980432493
bajar                    29         0.09531017980432493
dormir                   29         0.09531017980432493
divertido                29         0.09531017980432493
eres                     29         0.09531017980432493
entiendo                 29         0.09531017980432493
buscando                 29         0.09531017980432493
excepto                  29         0.09531017980432493
dolor                    29         0.09531017980432493
ponía                    29         0.09531017980432493
inmediatamente           29         0.09531017980432493
edad                     29         0.09531017980432493
tiempos                  29         0.09531017980432493
piel                     29         0.09531017980432493
diferentes               29         0.09531017980432493
usted                    29         0.09531017980432493
evitar                   29         0.09531017980432493
hijo                     29         0.09531017980432493
parecer                  29         0.09531017980432493
rió                      29         0.09531017980432493
abrir                    29         0.09531017980432493
replicó                  29         0.09531017980432493
tamaño                   29         0.09531017980432493
normal                   29         0.09531017980432493
brazos                   29         0.09531017980432493
despertar                29         0.09531017980432493
quedarse                 29         0.09531017980432493
giró                     29         0.09531017980432493
ah                       29         0.09531017980432493
conmigo                  29         0.09531017980432493
sitio                    29         0.09531017980432493
intención                29         0.09531017980432493
salida                   29         0.09531017980432493
cuello                   29         0.09531017980432493
pienso                   29         0.09531017980432493
suave                    29         0.09531017980432493
dije                     29         0.09531017980432493
salto                    29         0.09531017980432493
memoria                  29         0.09531017980432493
torno                    29         0.09531017980432493
espalda                  29         0.09531017980432493
recordar                 29         0.09531017980432493
pocas                    29         0.09531017980432493
encontró                 29         0.09531017980432493
llama                    29         0.09531017980432493
verdadero                29         0.09531017980432493
últimas                  29         0.09531017980432493
continuó                 29         0.09531017980432493
serie                    29         0.09531017980432493
encontramos              29         0.09531017980432493
agradable                29         0.09531017980432493
llegue                   29         0.09531017980432493
piernas                  29         0.09531017980432493
necesidad                29         0.09531017980432493
aun                      29         0.09531017980432493
conseguir                29         0.09531017980432493
vivos                    29         0.09531017980432493
cara                     29         0.09531017980432493
interés                  29         0.09531017980432493
sonido                   29         0.09531017980432493
darse                    29         0.09531017980432493
fijamente                29         0.09531017980432493
salvar                   29         0.09531017980432493
nombres                  29         0.09531017980432493
pelea                    29         0.09531017980432493
corriendo                29         0.09531017980432493
haré                     29         0.09531017980432493
sacudió                  29         0.09531017980432493
horrible                 29         0.09531017980432493
directamente             29         0.09531017980432493
ello                     29         0.09531017980432493
espaldas                 29         0.09531017980432493
haberlo                  29         0.09531017980432493
ciudad                   29         0.09531017980432493
contigo                  29         0.09531017980432493
vale                     29         0.09531017980432493
mejillas                 29         0.09531017980432493
situación                29         0.09531017980432493
cabello                  29         0.09531017980432493
amigo                    29         0.09531017980432493
pasando                  29         0.09531017980432493
gusto                    29         0.09531017980432493
resultado                29         0.09531017980432493
veo                      29         0.09531017980432493
cambiado                 29         0.09531017980432493
alma                     29         0.09531017980432493
podido                   29         0.09531017980432493
dispuesto                29         0.09531017980432493
interrumpió              29         0.09531017980432493
altura                   29         0.09531017980432493
cerró                    29         0.09531017980432493
contar                   29         0.09531017980432493
aliento                  29         0.09531017980432493
roja                     29         0.09531017980432493
asunto                   29         0.09531017980432493
borde                    29         0.09531017980432493
voces                    29         0.09531017980432493
cabo                     29         0.09531017980432493
siguiendo                29         0.09531017980432493
próximo                  29         0.09531017980432493
tienes                   29         0.09531017980432493
nuevos                   29         0.09531017980432493
línea                    29         0.09531017980432493
distinto                 29         0.09531017980432493
tomado                   29         0.09531017980432493
garganta                 29         0.09531017980432493
noches                   29         0.09531017980432493
error                    29         0.09531017980432493
estrellas                29         0.09531017980432493
sombras                  29         0.09531017980432493
segura                   29         0.09531017980432493
tratar                   29         0.09531017980432493
